date,Average prices across India,value
04-01-2004,Modal price,351.3181818
05-01-2004,Maximum Price,410.75
05-01-2004,Minimum price,228.3636364
05-01-2004,Modal price,337.3636364
06-01-2004,Maximum Price,462.047619
06-01-2004,Minimum price,232.4047619
06-01-2004,Modal price,372.3333333
07-01-2004,Maximum Price,465
07-01-2004,Minimum price,253.3488372
07-01-2004,Modal price,384.744186
08-01-2004,Maximum Price,516.4545455
08-01-2004,Minimum price,285.7045455
08-01-2004,Modal price,427.5227273
09-01-2004,Maximum Price,522.8181818
09-01-2004,Minimum price,275.8181818
09-01-2004,Modal price,424.2045455
10-01-2004,Maximum Price,619.0444444
10-01-2004,Minimum price,305.7333333
10-01-2004,Modal price,493.6222222
11-01-2004,Maximum Price,564.7777778
11-01-2004,Minimum price,263.4
11-01-2004,Modal price,441.2444444
12-01-2004,Maximum Price,501.3409091
12-01-2004,Minimum price,237.1818182
12-01-2004,Modal price,394.7045455
01-01-2005,Maximum Price,495.3809524
01-01-2005,Minimum price,263.1904762
01-01-2005,Modal price,386.5555556
02-01-2005,Maximum Price,424.8153846
02-01-2005,Minimum price,236.4
02-01-2005,Modal price,344.7076923
03-01-2005,Maximum Price,378.2909091
03-01-2005,Minimum price,201.3818182
03-01-2005,Modal price,300.9272727
04-01-2005,Maximum Price,387.9807692
04-01-2005,Minimum price,192.5769231
04-01-2005,Modal price,311.5769231
05-01-2005,Maximum Price,385.0163934
05-01-2005,Minimum price,221.3442623
05-01-2005,Modal price,313.2622951
06-01-2005,Maximum Price,425.6440678
06-01-2005,Minimum price,214.0169492
06-01-2005,Modal price,334.3389831
07-01-2005,Maximum Price,491.6440678
07-01-2005,Minimum price,247.7118644
07-01-2005,Modal price,388.9661017
08-01-2005,Maximum Price,714.4262295
08-01-2005,Minimum price,355.852459
08-01-2005,Modal price,571.6229508
09-01-2005,Maximum Price,1063.285714
09-01-2005,Minimum price,536.6825397
09-01-2005,Modal price,861.6190476
10-01-2005,Maximum Price,1326.5
10-01-2005,Minimum price,684.8333333
10-01-2005,Modal price,1060.166667
11-01-2005,Maximum Price,1313.224138
11-01-2005,Minimum price,698.6551724
11-01-2005,Modal price,1049.206897
12-01-2005,Maximum Price,813.2666667
12-01-2005,Minimum price,471.6333333
12-01-2005,Modal price,667.45
01-01-2006,Maximum Price,537.3529412
01-01-2006,Minimum price,306.3382353
01-01-2006,Modal price,433.0441176
02-01-2006,Maximum Price,399.9545455
02-01-2006,Minimum price,230.9242424
02-01-2006,Modal price,321.4848485
03-01-2006,Maximum Price,354.3484848
03-01-2006,Minimum price,215.9545455
03-01-2006,Modal price,293.7878788
04-01-2006,Maximum Price,360.8852459
04-01-2006,Minimum price,213.9344262
04-01-2006,Modal price,297.9836066
05-01-2006,Maximum Price,316.0153846
05-01-2006,Minimum price,175.7846154
05-01-2006,Modal price,254.6
06-01-2006,Maximum Price,393
06-01-2006,Minimum price,216.3387097
06-01-2006,Modal price,320.9032258
07-01-2006,Maximum Price,433.3272727
07-01-2006,Minimum price,239.3090909
07-01-2006,Modal price,352.6
08-01-2006,Maximum Price,481.0714286
08-01-2006,Minimum price,260.6607143
08-01-2006,Modal price,392.4285714
09-01-2006,Maximum Price,489.5166667
09-01-2006,Minimum price,246.4
09-01-2006,Modal price,385.6
10-01-2006,Maximum Price,539.9272727
10-01-2006,Minimum price,257.9272727
10-01-2006,Modal price,420.2727273
11-01-2006,Maximum Price,624.4590164
11-01-2006,Minimum price,267.0819672
11-01-2006,Modal price,467.9836066
12-01-2006,Maximum Price,812.8360656
12-01-2006,Minimum price,377.4754098
12-01-2006,Modal price,627.0163934
01-01-2007,Maximum Price,1104
01-01-2007,Minimum price,592.5230769
01-01-2007,Modal price,879.1230769
