state,date,Modal price (Average)
BHR,12-01-15,1616
BHR,01-01-16,1497
BHR,02-01-16,1121
BHR,03-01-16,1044
DEL,01-01-03,280
DEL,02-01-03,253
DEL,03-01-03,366
DEL,04-01-03,425
DEL,05-01-03,419
DEL,06-01-03,463
DEL,07-01-03,531
DEL,08-01-03,572
DEL,09-01-03,691
DEL,10-01-03,881
DEL,11-01-03,693
DEL,12-01-03,731
DEL,01-01-04,928
DEL,02-01-04,876
DEL,03-01-04,582
DEL,04-01-04,450
DEL,05-01-04,376
DEL,06-01-04,347
DEL,07-01-04,414
DEL,08-01-04,550
DEL,09-01-04,568
DEL,10-01-04,625
DEL,11-01-04,584
DEL,12-01-04,497
DEL,01-01-05,489
DEL,02-01-05,463
DEL,03-01-05,395
DEL,04-01-05,380
DEL,05-01-05,451
DEL,06-01-05,425
DEL,07-01-05,550
DEL,08-01-05,710
DEL,09-01-05,1046
DEL,10-01-05,1169
DEL,11-01-05,1025
DEL,12-01-05,700
DEL,01-01-06,541
DEL,02-01-06,433
DEL,03-01-06,391
DEL,04-01-06,391
DEL,05-01-06,370
DEL,06-01-06,404
DEL,07-01-06,450
DEL,08-01-06,501
DEL,09-01-06,506
DEL,10-01-06,514
DEL,11-01-06,439
DEL,12-01-06,712
DEL,01-01-07,1022
DEL,02-01-07,1179
DEL,03-01-07,809
DEL,04-01-07,632
DEL,05-01-07,506
DEL,06-01-07,560
DEL,07-01-07,769
DEL,08-01-07,1120
DEL,09-01-07,1436
DEL,10-01-07,1506
DEL,11-01-07,830
DEL,12-01-07,537
DEL,01-01-08,447
DEL,02-01-08,405
DEL,03-01-08,474
DEL,04-01-08,479
DEL,05-01-08,439
DEL,06-01-08,430
DEL,07-01-08,594
DEL,08-01-08,833
DEL,09-01-08,816
DEL,10-01-08,826
DEL,11-01-08,1024
DEL,12-01-08,1128
DEL,01-01-09,1369
DEL,02-01-09,1108
DEL,03-01-09,957
DEL,04-01-09,712
DEL,05-01-09,640
DEL,06-01-09,649
DEL,07-01-09,740
DEL,08-01-09,796
DEL,09-01-09,858
DEL,10-01-09,1535
DEL,11-01-09,1356
DEL,12-01-09,1382
DEL,01-01-10,1331
DEL,02-01-10,1109
DEL,03-01-10,820
DEL,04-01-10,694
DEL,05-01-10,524
DEL,06-01-10,507
DEL,07-01-10,672
DEL,08-01-10,846
DEL,09-01-10,1294
DEL,10-01-10,1549
DEL,11-01-10,1842
DEL,12-01-10,2388
DEL,01-01-11,2657
DEL,02-01-11,1039
DEL,03-01-11,677
DEL,04-01-11,605
DEL,05-01-11,540
DEL,06-01-11,576
DEL,07-01-11,818
DEL,08-01-11,1069
DEL,09-01-11,1201
DEL,10-01-11,1096
DEL,11-01-11,899
DEL,12-01-11,611
DEL,01-01-12,490
DEL,02-01-12,535
DEL,03-01-12,603
DEL,04-01-12,621
DEL,05-01-12,544
DEL,06-01-12,587
