date,year,month,Average prices across India,value
10-01-2004,2004,Oct,Minimum price,305.7333333
10-01-2004,2004,Oct,Modal price,493.6222222
11-01-2004,2004,Nov,Maximum Price,564.7777778
11-01-2004,2004,Nov,Minimum price,263.4
11-01-2004,2004,Nov,Modal price,441.2444444
12-01-2004,2004,Dec,Maximum Price,501.3409091
12-01-2004,2004,Dec,Minimum price,237.1818182
12-01-2004,2004,Dec,Modal price,394.7045455
01-01-2005,2005,Jan,Maximum Price,495.3809524
01-01-2005,2005,Jan,Minimum price,263.1904762
01-01-2005,2005,Jan,Modal price,386.5555556
02-01-2005,2005,Feb,Maximum Price,424.8153846
02-01-2005,2005,Feb,Minimum price,236.4
02-01-2005,2005,Feb,Modal price,344.7076923
03-01-2005,2005,Mar,Maximum Price,378.2909091
03-01-2005,2005,Mar,Minimum price,201.3818182
03-01-2005,2005,Mar,Modal price,300.9272727
04-01-2005,2005,Apr,Maximum Price,387.9807692
04-01-2005,2005,Apr,Minimum price,192.5769231
04-01-2005,2005,Apr,Modal price,311.5769231
05-01-2005,2005,May,Maximum Price,385.0163934
05-01-2005,2005,May,Minimum price,221.3442623
05-01-2005,2005,May,Modal price,313.2622951
06-01-2005,2005,Jun,Maximum Price,425.6440678
06-01-2005,2005,Jun,Minimum price,214.0169492
06-01-2005,2005,Jun,Modal price,334.3389831
07-01-2005,2005,Jul,Maximum Price,491.6440678
07-01-2005,2005,Jul,Minimum price,247.7118644
07-01-2005,2005,Jul,Modal price,388.9661017
08-01-2005,2005,Aug,Maximum Price,714.4262295
08-01-2005,2005,Aug,Minimum price,355.852459
08-01-2005,2005,Aug,Modal price,571.6229508
09-01-2005,2005,Sep,Maximum Price,1063.285714
09-01-2005,2005,Sep,Minimum price,536.6825397
09-01-2005,2005,Sep,Modal price,861.6190476
10-01-2005,2005,Oct,Maximum Price,1326.5
10-01-2005,2005,Oct,Minimum price,684.8333333
10-01-2005,2005,Oct,Modal price,1060.166667
11-01-2005,2005,Nov,Maximum Price,1313.224138
11-01-2005,2005,Nov,Minimum price,698.6551724
11-01-2005,2005,Nov,Modal price,1049.206897
12-01-2005,2005,Dec,Maximum Price,813.2666667
12-01-2005,2005,Dec,Minimum price,471.6333333
12-01-2005,2005,Dec,Modal price,667.45
01-01-2006,2006,Jan,Maximum Price,537.3529412
01-01-2006,2006,Jan,Minimum price,306.3382353
01-01-2006,2006,Jan,Modal price,433.0441176
02-01-2006,2006,Feb,Maximum Price,399.9545455
02-01-2006,2006,Feb,Minimum price,230.9242424
02-01-2006,2006,Feb,Modal price,321.4848485
03-01-2006,2006,Mar,Maximum Price,354.3484848
03-01-2006,2006,Mar,Minimum price,215.9545455
03-01-2006,2006,Mar,Modal price,293.7878788
04-01-2006,2006,Apr,Maximum Price,360.8852459
04-01-2006,2006,Apr,Minimum price,213.9344262
04-01-2006,2006,Apr,Modal price,297.9836066
05-01-2006,2006,May,Maximum Price,316.0153846
05-01-2006,2006,May,Minimum price,175.7846154
05-01-2006,2006,May,Modal price,254.6
06-01-2006,2006,Jun,Maximum Price,393
06-01-2006,2006,Jun,Minimum price,216.3387097
06-01-2006,2006,Jun,Modal price,320.9032258
07-01-2006,2006,Jul,Maximum Price,433.3272727
07-01-2006,2006,Jul,Minimum price,239.3090909
07-01-2006,2006,Jul,Modal price,352.6
08-01-2006,2006,Aug,Maximum Price,481.0714286
08-01-2006,2006,Aug,Minimum price,260.6607143
08-01-2006,2006,Aug,Modal price,392.4285714
09-01-2006,2006,Sep,Maximum Price,489.5166667
09-01-2006,2006,Sep,Minimum price,246.4
09-01-2006,2006,Sep,Modal price,385.6
10-01-2006,2006,Oct,Maximum Price,539.9272727
10-01-2006,2006,Oct,Minimum price,257.9272727
10-01-2006,2006,Oct,Modal price,420.2727273
11-01-2006,2006,Nov,Maximum Price,624.4590164
11-01-2006,2006,Nov,Minimum price,267.0819672
11-01-2006,2006,Nov,Modal price,467.9836066
12-01-2006,2006,Dec,Maximum Price,812.8360656
12-01-2006,2006,Dec,Minimum price,377.4754098
12-01-2006,2006,Dec,Modal price,627.0163934
01-01-2007,2007,Jan,Maximum Price,1104
01-01-2007,2007,Jan,Minimum price,592.5230769
01-01-2007,2007,Jan,Modal price,879.1230769
02-01-2007,2007,Feb,Maximum Price,1188.079365
02-01-2007,2007,Feb,Minimum price,705.6666667
02-01-2007,2007,Feb,Modal price,1000.920635
03-01-2007,2007,Mar,Maximum Price,824.5076923
03-01-2007,2007,Mar,Minimum price,511.5230769
03-01-2007,2007,Mar,Modal price,707.0307692
04-01-2007,2007,Apr,Maximum Price,636.1875
04-01-2007,2007,Apr,Minimum price,393.78125
04-01-2007,2007,Apr,Modal price,540
05-01-2007,2007,May,Maximum Price,682.442623
05-01-2007,2007,May,Minimum price,366.3770492
05-01-2007,2007,May,Modal price,530.2295082
06-01-2007,2007,Jun,Maximum Price,867.55
06-01-2007,2007,Jun,Minimum price,506.35
06-01-2007,2007,Jun,Modal price,734.7666667
07-01-2007,2007,Jul,Maximum Price,979.1269841
07-01-2007,2007,Jul,Minimum price,604.5873016
07-01-2007,2007,Jul,Modal price,834.3015873
08-01-2007,2007,Aug,Maximum Price,1288.396825
08-01-2007,2007,Aug,Minimum price,781.7777778
08-01-2007,2007,Aug,Modal price,1101.952381
09-01-2007,2007,Sep,Maximum Price,1541.583333
09-01-2007,2007,Sep,Minimum price,905.2666667
09-01-2007,2007,Sep,Modal price,1308.166667
10-01-2007,2007,Oct,Maximum Price,1572.928571
10-01-2007,2007,Oct,Minimum price,855.0714286
10-01-2007,2007,Oct,Modal price,1298.464286
11-01-2007,2007,Nov,Maximum Price,1044.155172
11-01-2007,2007,Nov,Minimum price,561.2241379
11-01-2007,2007,Nov,Modal price,846.1551724
12-01-2007,2007,Dec,Maximum Price,713.6333333
12-01-2007,2007,Dec,Minimum price,408.2
12-01-2007,2007,Dec,Modal price,578.45
01-01-2008,2008,Jan,Maximum Price,486.2741935
01-01-2008,2008,Jan,Minimum price,274.4032258
01-01-2008,2008,Jan,Modal price,389.3709677
02-01-2008,2008,Feb,Maximum Price,418.2166667
02-01-2008,2008,Feb,Minimum price,228.6
02-01-2008,2008,Feb,Modal price,336.8666667
03-01-2008,2008,Mar,Maximum Price,453.2758621
03-01-2008,2008,Mar,Minimum price,261.2931034
03-01-2008,2008,Mar,Modal price,372.1034483
04-01-2008,2008,Apr,Maximum Price,425.8833333
04-01-2008,2008,Apr,Minimum price,260.15
04-01-2008,2008,Apr,Modal price,358.3166667
05-01-2008,2008,May,Maximum Price,394.6833333
